# timestamp(s) x y z q_x q_y q_z q_w
0.635 24.6034 9.95426 7.73421 -0.0961078 0.070884 0.988595 -0.0917545
0.6375 24.6002 9.97351 7.72443 -0.0964197 0.0706673 0.988545 -0.0921303
0.64 24.5971 9.99275 7.71448 -0.0967308 0.07045 0.988495 -0.0925063
0.6425 24.594 10.012 7.70437 -0.0970412 0.070232 0.988445 -0.0928824
0.645 24.5908 10.0312 7.69408 -0.0973508 0.0700133 0.988395 -0.0932587
0.6475 24.5876 10.0505 7.68363 -0.0976596 0.0697939 0.988344 -0.0936351
0.65 24.5845 10.0697 7.67302 -0.0979677 0.0695739 0.988293 -0.0940117
0.6525 24.5813 10.0889 7.66224 -0.098275 0.0693532 0.988242 -0.0943884
0.655 24.5781 10.1081 7.6513 -0.0985816 0.0691319 0.988191 -0.0947653
0.6575 24.5748 10.1273 7.64019 -0.0988873 0.0689099 0.98814 -0.0951424
0.66 24.5716 10.1466 7.62892 -0.0991923 0.0686873 0.988089 -0.0955195
0.6625 24.5684 10.1658 7.61749 -0.0994965 0.068464 0.988037 -0.0958969
0.665 24.5651 10.185 7.60589 -0.0998 0.06824 0.987985 -0.0962744
0.6675 24.5619 10.2042 7.59414 -0.100103 0.0680154 0.987933 -0.096652
0.67 24.5586 10.2234 7.58223 -0.100405 0.0677902 0.987881 -0.0970298
0.6725 24.5553 10.2426 7.57015 -0.100706 0.0675643 0.987829 -0.0974078
0.675 24.552 10.2618 7.55792 -0.101006 0.0673377 0.987776 -0.0977859
0.6775 24.5487 10.281 7.54553 -0.101305 0.0671105 0.987723 -0.0981641
0.68 24.5454 10.3002 7.53298 -0.101604 0.0668827 0.98767 -0.0985425
0.6825 24.542 10.3194 7.52028 -0.101902 0.0666543 0.987617 -0.0989211
0.685 24.5387 10.3385 7.50742 -0.102199 0.0664252 0.987564 -0.0992998
0.6875 24.5353 10.3577 7.49441 -0.102495 0.0661955 0.987511 -0.0996787
0.69 24.5319 10.3769 7.48124 -0.102791 0.0659651 0.987457 -0.100058
0.6925 24.5286 10.3961 7.46792 -0.103086 0.0657341 0.987403 -0.100437
0.695 24.5252 10.4153 7.45445 -0.10338 0.0655025 0.987349 -0.100816
0.6975 24.5218 10.4344 7.44083 -0.103673 0.0652703 0.987295 -0.101196
0.7 24.5183 10.4536 7.42705 -0.103965 0.0650374 0.987241 -0.101575
0.7025 24.5149 10.4727 7.41313 -0.104256 0.064804 0.987186 -0.101955
0.705 24.5115 10.4919 7.39905 -0.104547 0.0645699 0.987131 -0.102335
0.7075 24.508 10.5111 7.38483 -0.104837 0.0643352 0.987076 -0.102715
0.71 24.5045 10.5302 7.37047 -0.105126 0.0640998 0.987021 -0.103096
0.7125 24.5011 10.5493 7.35595 -0.105414 0.0638639 0.986966 -0.103476
0.715 24.4976 10.5685 7.34129 -0.105701 0.0636274 0.986911 -0.103857
0.7175 24.4941 10.5876 7.32649 -0.105988 0.0633902 0.986855 -0.104237
0.72 24.4905 10.6068 7.31154 -0.106274 0.0631525 0.986799 -0.104618
0.7225 24.487 10.6259 7.29645 -0.106559 0.0629141 0.986743 -0.104999
0.725 24.4835 10.645 7.28122 -0.106843 0.0626752 0.986687 -0.10538
0.7275 24.4799 10.6642 7.26585 -0.107126 0.0624356 0.986631 -0.105762
0.73 24.4763 10.6833 7.25033 -0.107408 0.0621955 0.986574 -0.106143
0.7325 24.4728 10.7024 7.23468 -0.10769 0.0619547 0.986518 -0.106525
0.735 24.4692 10.7215 7.21889 -0.10797 0.0617134 0.986461 -0.106907
0.7375 24.4656 10.7406 7.20297 -0.10825 0.0614715 0.986404 -0.107289
0.74 24.462 10.7597 7.18691 -0.108529 0.061229 0.986347 -0.107671
0.7425 24.4583 10.7788 7.17071 -0.108807 0.0609859 0.986289 -0.108053
0.745 24.4547 10.7979 7.15438 -0.109085 0.0607422 0.986232 -0.108436
0.7475 24.4511 10.817 7.13792 -0.109361 0.0604979 0.986174 -0.108818
0.75 24.4474 10.8361 7.12132 -0.109637 0.0602531 0.986116 -0.109201
0.7525 24.4437 10.8552 7.10459 -0.109911 0.0600077 0.986058 -0.109584
