# timestamp(s) x y z q_x q_y q_z q_w
0.53 24.7212 9.16278 7.99714 -0.082734 0.0792596 0.990499 -0.0764698
0.5325 24.7186 9.18214 7.99474 -0.0830751 0.0790725 0.990457 -0.0768397
0.535 24.716 9.2015 7.99215 -0.0834154 0.0788847 0.990414 -0.0772096
0.5375 24.7134 9.22086 7.98938 -0.0837551 0.0786961 0.990372 -0.0775797
0.54 24.7107 9.24021 7.98643 -0.0840942 0.0785067 0.990329 -0.07795
0.5425 24.7081 9.25956 7.98329 -0.0844326 0.0783166 0.990287 -0.0783204
0.545 24.7054 9.27891 7.97997 -0.0847703 0.0781258 0.990244 -0.0786909
0.5475 24.7027 9.29825 7.97646 -0.0851074 0.0779342 0.9902 -0.0790616
0.55 24.7 9.31759 7.97277 -0.0854438 0.0777419 0.990157 -0.0794324
0.5525 24.6973 9.33693 7.9689 -0.0857795 0.0775488 0.990113 -0.0798034
0.555 24.6946 9.35627 7.96485 -0.0861145 0.0773551 0.99007 -0.0801745
0.5575 24.6918 9.37561 7.96062 -0.0864489 0.0771605 0.990026 -0.0805457
0.56 24.6891 9.39494 7.9562 -0.0867826 0.0769653 0.989982 -0.0809171
0.5625 24.6863 9.41427 7.9516 -0.0871157 0.0767693 0.989937 -0.0812887
0.565 24.6836 9.43359 7.94682 -0.087448 0.0765726 0.989893 -0.0816603
0.5675 24.6808 9.45292 7.94186 -0.0877797 0.0763752 0.989848 -0.0820322
0.57 24.678 9.47224 7.93672 -0.0881107 0.076177 0.989803 -0.0824041
0.5725 24.6752 9.49156 7.9314 -0.088441 0.0759781 0.989758 -0.0827762
0.575 24.6724 9.51087 7.92589 -0.0887706 0.0757785 0.989713 -0.0831485
0.5775 24.6695 9.53018 7.92021 -0.0890995 0.0755782 0.989667 -0.0835209
0.58 24.6667 9.54949 7.91435 -0.0894277 0.0753772 0.989622 -0.0838934
0.5825 24.6638 9.5688 7.90831 -0.0897552 0.0751754 0.989576 -0.0842661
0.585 24.661 9.58811 7.90209 -0.090082 0.074973 0.98953 -0.0846389
0.5875 24.6581 9.60741 7.89569 -0.0904081 0.0747698 0.989484 -0.0850119
0.59 24.6552 9.62671 7.88912 -0.0907335 0.0745659 0.989437 -0.085385
0.5925 24.6523 9.646 7.88236 -0.0910582 0.0743613 0.989391 -0.0857583
0.595 24.6494 9.6653 7.87543 -0.0913821 0.074156 0.989344 -0.0861317
0.5975 24.6465 9.68459 7.86833 -0.0917054 0.07395 0.989297 -0.0865053
0.6 24.6435 9.70387 7.86104 -0.0920279 0.0737433 0.98925 -0.086879
0.6025 24.6406 9.72316 7.85358 -0.0923497 0.0735359 0.989203 -0.0872529
0.605 24.6376 9.74244 7.84595 -0.0926708 0.0733278 0.989155 -0.0876269
0.6075 24.6346 9.76172 7.83814 -0.0929912 0.073119 0.989107 -0.0880011
0.61 24.6316 9.78099 7.83016 -0.0933108 0.0729095 0.98906 -0.0883754
0.6125 24.6286 9.80027 7.822 -0.0936298 0.0726993 0.989011 -0.0887498
0.615 24.6256 9.81954 7.81367 -0.0939479 0.0724884 0.988963 -0.0891244
0.6175 24.6226 9.8388 7.80517 -0.0942654 0.0722769 0.988915 -0.0894992
0.62 24.6196 9.85807 7.79649 -0.0945821 0.0720646 0.988866 -0.0898741
0.6225 24.6165 9.87733 7.78764 -0.0948981 0.0718517 0.988817 -0.0902491
0.625 24.6135 9.89659 7.77862 -0.0952133 0.0716381 0.988768 -0.0906243
0.6275 24.6104 9.91584 7.76943 -0.0955278 0.0714238 0.988719 -0.0909997
0.63 24.6073 9.93509 7.76007 -0.0958415 0.0712088 0.98867 -0.0913752
0.6325 24.6042 9.95434 7.75055 -0.0961545 0.0709931 0.98862 -0.0917508
0.635 24.6011 9.97359 7.74085 -0.0964667 0.0707768 0.988571 -0.0921266
0.6375 24.598 9.99283 7.73098 -0.0967782 0.0705598 0.988521 -0.0925026
0.64 24.5949 10.0121 7.72095 -0.0970889 0.0703421 0.988471 -0.0928787
0.6425 24.5917 10.0313 7.71074 -0.0973989 0.0701238 0.98842 -0.093255
0.645 24.5886 10.0505 7.70038 -0.0977081 0.0699048 0.98837 -0.0936314
0.6475 24.5854 10.0698 7.68984 -0.0980165 0.0696851 0.988319 -0.0940079
0.65 24.5822 10.089 7.67914 -0.0983242 0.0694648 0.988269 -0.0943847
0.6525 24.579 10.1082 7.66828 -0.0986311 0.0692438 0.988218 -0.0947615
0.655 24.5758 10.1274 7.65725 -0.0989372 0.0690222 0.988166 -0.0951385
0.6575 24.5726 10.1467 7.64606 -0.0992426 0.0687998 0.988115 -0.0955157
0.66 24.5694 10.1659 7.63471 -0.0995471 0.0685769 0.988064 -0.095893
0.6625 24.5661 10.1851 7.62319 -0.0998509 0.0683533 0.988012 -0.0962705
0.665 24.5629 10.2043 7.61152 -0.100154 0.068129 0.98796 -0.0966481
0.6675 24.5596 10.2235 7.59968 -0.100456 0.0679041 0.987908 -0.0970259
0.67 24.5564 10.2427 7.58768 -0.100758 0.0676785 0.987856 -0.0974039
